lat,lng,search,query,processed
25.145946,55.789841,IB IGCSE coaching,IB IGCSE coaching,False
25.145946,55.938825,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,54.3,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,54.448984,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,54.597968,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,54.746952,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,54.895936,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.04492,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.193905,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.342889,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.491873,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.640857,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.789841,IB IGCSE coaching,IB IGCSE coaching,False
25.281081,55.938825,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,54.3,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,54.448984,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,54.597968,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,54.746952,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,54.895936,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.04492,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.193905,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.342889,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.491873,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.640857,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.789841,IB IGCSE coaching,IB IGCSE coaching,False
25.416216,55.938825,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,54.3,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,54.448984,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,54.597968,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,54.746952,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,54.895936,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.04492,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.193905,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.342889,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.491873,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.640857,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.789841,IB IGCSE coaching,IB IGCSE coaching,False
25.551351,55.938825,IB IGCSE coaching,IB IGCSE coaching,False
